Tipo_ensino,Universidade_cod,Universidade_nome,Curso_cod,Curso_nome,Ciclo,Link_detalhe
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9448,Antropologia,Antropologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9448&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9257,Arquitetura,Arquitetura,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9257&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,L188,Ciência de Dados,Ciência de Dados,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L188&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,L189,Ciência de Dados (regime pós-laboral),Ciência de Dados (regime pós-laboral),https://www.dges.gov.pt/guias/detcursopi.asp?codc=L189&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9019,Ciência Política,Ciência Política,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9019&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9081,Economia,Economia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9081&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9119,Engenharia Informática,Engenharia Informática,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9119&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9885,Engenharia Informática (regime pós-laboral),Engenharia Informática (regime pós-laboral),https://www.dges.gov.pt/guias/detcursopi.asp?codc=9885&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9098,Engenharia de Telecomunicações e Informática,Engenharia de Telecomunicações e Informática,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9098&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,8029,Finanças e Contabilidade,Finanças e Contabilidade,https://www.dges.gov.pt/guias/detcursopi.asp?codc=8029&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9147,Gestão,Gestão,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9147&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,L030,Gestão Industrial e Logística,Gestão Industrial e Logística,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L030&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9156,Gestão de Marketing,Gestão de Marketing,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9156&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9157,Gestão de Recursos Humanos,Gestão de Recursos Humanos,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9157&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9927,História Moderna e Contemporânea,História Moderna e Contemporânea,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9927&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9189,Informática e Gestão de Empresas,Informática e Gestão de Empresas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9189&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,8366,Informática e Gestão de Empresas (regime pós-laboral),Informática e Gestão de Empresas (regime pós-laboral),https://www.dges.gov.pt/guias/detcursopi.asp?codc=8366&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9219,Psicologia,Psicologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9219&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9238,Serviço Social,Serviço Social,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9238&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,8014,Serviço Social (regime pós-laboral),Serviço Social (regime pós-laboral),https://www.dges.gov.pt/guias/detcursopi.asp?codc=8014&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9240,Sociologia,Sociologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9240&code=6800
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,8109,Sociologia (regime pós-laboral),Sociologia (regime pós-laboral),https://www.dges.gov.pt/guias/detcursopi.asp?codc=8109&code=6800
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L278,Desenvolvimento de Software e Aplicações,Desenvolvimento de Software e Aplicações,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L278&code=6810
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L321,Matemática Aplicada e Tecnologias Digitais,Matemática Aplicada e Tecnologias Digitais,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L321&code=6810
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L274,"Política, Economia e Sociedade","Política, Economia e Sociedade",https://www.dges.gov.pt/guias/detcursopi.asp?codc=L274&code=6810
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L273,Tecnologias Digitais e Automação,Tecnologias Digitais e Automação,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L273&code=6810
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L311,"Tecnologias Digitais, Edifícios e Construção Sustentável","Tecnologias Digitais, Edifícios e Construção Sustentável",https://www.dges.gov.pt/guias/detcursopi.asp?codc=L311&code=6810
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L281,Tecnologias Digitais Educativas,Tecnologias Digitais Educativas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L281&code=6810
