Tipo_ensino,Universidade_cod,Universidade_nome,Curso_cod,Curso_nome,Ciclo,Link_detalhe,Provas_ingresso,Ano_nota,Nota_1fase,Nota_2fase
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9448,Antropologia,Antropologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9448&code=6800,"{'Uma das seguintes provas': ['História', 'Matemática', 'Português']}",2023,"141,0","145,5"
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9257,Arquitetura,Arquitetura,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9257&code=6800,"{'Um dos seguintes conjuntos': [['Geometria Descritiva'], ['Geometria Descritiva', 'Matemática'], ['Desenho', 'Geometria Descritiva']]}",2023,"154,0","177,0"
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,L188,Ciência de Dados,Ciência de Dados,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L188&code=6800,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Economia', 'Matemática A'], ['Biologia e Geologia', 'Matemática A']]}",2023,"159,8","162,8"
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,L189,Ciência de Dados (regime pós-laboral),Ciência de Dados (regime pós-laboral),https://www.dges.gov.pt/guias/detcursopi.asp?codc=L189&code=6800,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Economia', 'Matemática A'], ['Biologia e Geologia', 'Matemática A']]}",2023,"146,6","151,4"
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9019,Ciência Política,Ciência Política,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9019&code=6800,"{'Uma das seguintes provas': ['História', 'Matemática', 'Português']}",2023,"161,5","166,0"
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9081,Economia,Economia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9081&code=6800,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Economia', 'Matemática A'], ['Geografia', 'Matemática A']]}",2023,"161,8","163,3"
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9119,Engenharia Informática,Engenharia Informática,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9119&code=6800,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Física e Química', 'Matemática A']]}",2023,"162,0","173,0"
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9885,Engenharia Informática (regime pós-laboral),Engenharia Informática (regime pós-laboral),https://www.dges.gov.pt/guias/detcursopi.asp?codc=9885&code=6800,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Física e Química', 'Matemática A']]}",2023,"145,0","154,0"
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9098,Engenharia de Telecomunicações e Informática,Engenharia de Telecomunicações e Informática,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9098&code=6800,"{'As seguintes provas': ['Física e Química', 'Matemática A']}",2023,"131,8","139,5"
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,8029,Finanças e Contabilidade,Finanças e Contabilidade,https://www.dges.gov.pt/guias/detcursopi.asp?codc=8029&code=6800,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Economia', 'Matemática A'], ['Geografia', 'Matemática A']]}",2023,"158,0","160,0"
